Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,ВКонтакте,WhatsApp,Telegram,YouTube,Широта,Долгота,2GIS URL,Тип
Дар Сайрана,пункт продажи воды,Питьевая вода,"Максима Рыльского, 7 к1",,450049,Сипайлово м-н,Октябрьский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,5.0,2,83472232171 (единый номер),89371547644,http://dar-sairana.ru,,,,https://wa.me/79371547644,,,54.770759,56.067802,https://2gis.com/firm/70000001053094675,branch
Дар Сайрана,пункт продажи воды,Питьевая вода,"Рихарда Зорге, 2/2Б",,450083,,Октябрьский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,2.9,4,83472232171 (единый номер),89371547644,http://dar-sairana.ru,,,,https://wa.me/79371547644,,,54.759287,55.992971,https://2gis.com/firm/70000001047245083,branch
Красноусольская,пункт выдачи воды,Питьевая вода,"Габдуллы Амантая, 7а",,450062,Колгуевский м-н,Кировский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,1.1,4,89177700180 (горячая линия: пн-вс 9:00-18:00),,,,,,,,,54.690298,55.99178,https://2gis.com/firm/70000001046545806,branch
Сила Урала,,Питьевая вода,"Рабкоров, 5/6",,450092,Зелёная роща м-н,Кировский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.0,2,89279305005,,,,,,https://wa.me/79279305005,,,54.703358,56.001097,https://2gis.com/firm/70000001094433214,branch
Сила Урала,,Питьевая вода,"Комсомольская, 161/ к1",,450096,,Октябрьский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,5.0,6,89279305005,,,,,,https://wa.me/79279305005,,,54.764429,56.021922,https://2gis.com/firm/70000001058710578,branch
Красноусольская премиум,,Питьевая вода,"Маршала Жукова, 8 к1",,450099,Сипайлово м-н,Октябрьский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,1.0,3,"89177700180 (горячая линия: пн-пт 9:00-18:00; сб, вс 10:00-17:00)",83472163307 (служба доставки: пн-пт 8:30-20:00),http://красноусольскаяпремиум.рф,,,https://vk.com/zhvoda_ufa,,,,54.768669,56.055775,https://2gis.com/firm/70000001056835080,branch
Дар Сайрана,пункт продажи воды,Питьевая вода,"Степана Халтурина, 40 киоск",,450059,,Советский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,3.6,21,83472232171 (единый номер),89371547644,http://dar-sairana.ru,,,,https://wa.me/79371547644,,,54.746471,55.985905,https://2gis.com/firm/70000001017433211,branch
Дар Сайрана,пункт продажи воды,Питьевая вода,"Обская, 20 к2",,450022,Зелёная роща м-н,Советский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.4,18,83472232171 (единый номер),89371547644,http://dar-sairana.ru,,,,https://wa.me/79371547644,,,54.718078,55.997119,https://2gis.com/firm/70000001051486775,branch
Дар Сайрана,пункт продажи воды,Питьевая вода,"Менделеева, 156/6",,450080,Зелёная роща м-н,Советский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,4.0,6,83472232171 (единый номер),89371547644,http://dar-sairana.ru,,,,https://wa.me/79371547644,,,54.723167,56.023028,https://2gis.com/firm/70000001067103025,branch
Дар Сайрана,пункт продажи воды,Питьевая вода,"Энтузиастов, 1к",,450096,,Октябрьский район,Уфа,Уфа городской округ,Республика Башкортостан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+05:00,3.3,2,83472232171 (единый номер),89371547644,http://dar-sairana.ru,,,,https://wa.me/79371547644,,,54.756783,56.021435,https://2gis.com/firm/70000001053935275,branch
